front,back
모자라다,to be insufficient
목욕하다,to take a bath
묻다,to ask
물어보다,to ask
받다,to receive
벗다,to take off
부르다,to call
부치다,"to mail (a letter, parcel)"
빌려주다,to lend
빌리다,to borrow
빼다,"to remove, to subtract, to take out"
사고,accident
사용하다,to use
서다,to stand
설거지하다,to wash the dishes
수영하다,to swim
쉬다,to rest
시키다,to order
신다,to wear shoes
씻다,to wash
알아듣다,to listen and comprehend
어울리다,"to match, suit"
연습하다,to practice
열이나다,to have a fever
오르다,"to rise, to go up"
올라오다,"to come up, to climb"
운전하다,to drive
이사가다,move to other place
잃다,to lose
읽다,to read
잃어버리다,to lose something
입다,to wear
잊다,to forget
잠이 오다,to feel sleepy
잡수시다,to eat (honorific)
전하다,"to tell, convey"
전화를 걸다,to make a phone call
지나다,"to pass, go by"
지내다,to spend time
짓다,to build
찾다,"to find, look for"
찾아가다,to visit
초대하다,to invite
축구,soccer
출발하다,"depart, leave"
켜다,to turn on
틀리다,to be wrong
푹 자다,to sleep deeply
회의,meeting
계시다,to be (honorific)
적다,"to be few, scarce"
낮다,low
넓다,"to be spacious, wide"
맑다,"clean, pure"
반갑다,to be glad
밝다,to be bright
부지런하다,to be diligent
비슷하다,to be similar
어리다,to be young
좁다,to be narrow
죄송하다,to be sorry
즐겁다,to be joyful
짧다,to be short
춥다,to be cold
친절하다,to be kind
편안하다,to be comfortable
한가하다,to have free time
가장,most
거의,almost
금방,soon
날마다,everyday
따로,separately
또,"also, too"
똑바로,straight
마침내,finally
매우,very
미리,beforehand
바로,immediately
방금,a moment ago
벌써,already
별로,not really
아까,a while ago
아마,"probably, perhaps"
아주,very
어서,quickly
요즘,these days
이제,now
일찍,early
