front,back
Banane,banana
benutzen,to use
Band,(music) band
bequem,comfortable
Bank (Geldinstitut),Bank (Money Institution)
Bank (Sitzgelegenheit),Bank (seating)
bar,in cash
beraten,to advise
Basketball,basketball
Berg,mountain
basteln,to tinker / to do handicrafts
Bauch,belly
bauen,to build
berichten,to report
Beruf,job
berühmt,famous
Baum,tree
Bescheid,answer / decision / information
Baustelle,Building site / construction site
beschreiben,to describe
beantworten,to answer
sich bedanken,to thank so. (for sth.)
bedeuten,mean
sich beschweren,to complain
sich beeilen,to hurry up
besetzt,occupied
besichtigen,to visit
bleiben,to stay
besonders,especially
Bleistift,pencil
bestätigen,to confirm
blöd,stupid
blond,blond
bestehen,consist
Blog,blog
Blume,flower
Bluse,blouse
bestellen,to order
Bohne,Bean
böse,angry
Besuch,visit
besuchen,to visit
braten,to roast meat
Bett,bed
brauchen,to need
sich bewerben,to make an application / to apply for sth.
Bewerbung,application / canditature
Brief,letter
bewölkt,cloudy
Briefmarke,Stamp
Brille,glasses
bezahlen,to pay
bringen,bring
Bibliothek,library
Brot,bread
Bier,beer
Bild,image
Brötchen,bun / small bread
billig,cheap
Brücke,bridge
Birne,pear
Buch,book
bis,to
bisschen,little
buchen,to book
Buchstabe,letter / character
bitte,to request (sth.) / to beg for (sth.)
Bitte,Request / Appeal / You're welcome
bitten,to ask for (sth.)
buchstabieren,to spell
bunt,colorful
bitter,bitter
Büro,office
Blatt,sheet
Bus,bus
Butter,butter
Café,Coffee shop
Cafeteria,cafeteria
chatten,to chat
Datum,date
dauern,to last
denken,to think
Chef,male boss
Chefin,female boss
Club,club
Comic,comic
denn,because
deshalb,therefore / that's why
deutlich,clear
Computer,computer
Creme,cream
dick,thick
Ding,thing
direkt,directly
da,there
Disco,Disco
diskutieren,to discuss
dabei sein,to be present / to be there
darüber,about that
doch,still / however / but
darauf,afterwards / after that / thereon
dagegen sein,be against
dafür sein,to be for it
damals,back then
Doppelzimmer,double room
Dame,lady
daneben,aside / beside
Dank,thanks
Dorf,village
dort,there
dorther,thence / from there
dorthin,to there
danke,Thank you
draußen,outside
danken,to thank
dann,then
dringend,urgent
drinnen,indoors
dass,that
Datei,file
drüben,over there
drücken,to press
drucken,to print
Einkaufszentrum,shopping mall
Drucker,printer
dumm,stupid
einladen,to invite
dunkel,dark
Einladung,invitation
einmal,once
einpacken,to wrap (sth.) / to pack (sth.)
dünn,thin
durch,by
einsteigen,to get in / to board / to enter
dürfen,can / may / to be allowed to do (sth.)
sich eintragen,to register / to sign in
Durst,thirst
Dusche,shower
Eintritt,entry
einverstanden sein,to agree
sich duschen,to take a shower
E-Book,E-Book
einzeln,single / individual / separate
Einzelkind,the only child
Einzelzimmer,single room
echt,real
Ecke,corner
einziehen,to move in
egal,equal / whatever
Eis,ice cream
E-Mail,e-mail
Ehefrau,wife
Ehepartner,spouse
Ehemann,husband
Ei,egg
eigenes,own
Empfänger,receiver
empfehlen,to recommend
eigentlich,actually
Ende,the End
eilig,hurried
einfach,easy
enden,to end in (sth.) / to finish / to close
endlich,finally / at last
eng,tight / narrow / cramped
Eingang,entrance
einige,some
sich entschuldigen,to apologize
einkaufen,to shop / to do the shopping
Entschuldigung,excuse / apology
Erdgeschoss,ground floor
falsch,not correct / wrong
Erfahrung,experience
sich erinnern,to remember
Familie,family
Familienname,family name
erkältet sein,to have a cold
fantastisch,fantastic
Fan,fan
erklären,to explain
Farbe,Colour
erlauben,to allow
erlaubt sein,to be allowed
Erlaubnis,permission
fast,nearly
faul,lazy
fehlen,to be absence / to be missing
Ermäßigung,discount
erreichen,to reach
Fehler,error
Feier,celebration
Feierabend,end of working day
Feiertag,holiday
feiern,to celebrate
erst,first
Erwachsene,adult
Fenster,window
Ferien,vacation
erzählen,to tell
fernsehen,to watch TV
essen,to eat
Essen,food / meal
Fernseher,TV
etwas,something
fertig sein,to bei done (doing sth.)
Fest,celebration / feast / party
Fach,subject
fahren,to drive
abfahren,depart
Abfahrt,Departure
Fahrkarte,ticket
Festival,festival
fett,fat
Fieber,fever
Film,movie
finden,to find
Fahrplan,timetable
Firma,company
fallen,to fall
Fahrrad,bicycle
Fisch,fish
fit sein,to be fit
Flasche,bottle
Fleisch,meat
fleißig,diligent / busy / hard-working
früher,earlier
Frühstück,breakfast
frühstücken,to have breakfast
fliegen,fly
abfliegen,depart
sich fühlen,to feel
Flohmarkt,flea market
Führerschein,driver's license
Flug,flight
Führung,guidance / leadership / conducted tour
Fundsachen,Lost property
Flughafen,airport
Flugzeug,plane
für,for
Fluss,river
furchtbar,awful
Formular,form
Fotoapparat,camera
fotografieren,to take photos
Fuß,foot
Fußball,soccer
Foto,photo
Frage,question
fragen,to ask
Frau,Mrs
Gabel,fork
ganz,all / quite
frei,free
freiwillig,voluntary
Freizeit,leisure
fremd,strange
Garage,garage
Garten,garden
Gast,guest
geben,to give
sich freuen,to be glad / to rejoice
geboren,born
Geburtstag,birthday
Geburtsort,place of birth
Geburtsjahr,year of birth
Freund,"friend, boyfriend"
Freundin,"female friend, girlfriend"
geehrte,Dear / honored
freundlich,friendly
gefährlich,dangerous
frisch,fresh
gefallen,to like
froh,glad
früh,early
gegen,against
Gegenteil,opposite
gegenüber,across / across from
gewinnen,to win
Gehalt,salary
Gewitter,thunderstorm
gehen,to go
Gitarre,guitar
Glas,Glass
glauben,to believe
gleich,equal
gehören,to belong to
Geld,money
Gleis,track
Glück,happiness
Geldbörse,Purse
glücklich,happy
Gemüse,vegetables
Glückwunsch,congratulation
genau,accurate / exact
gratulieren,to congratulate
genug,enough
grillen,to have a barbecue
Gepäck,Luggage
gerade,just
Grippe,flu
groß,big
geradeaus,straight
Größe,size
Gerät,device
Gruppe,group
Gericht,dish
gern,gladly
Gruß,greeting
Geschäft,shop / business
gültig sein,to be valid
Geschenk,present
Geschichte,story
Geschirr,dishes
günstig,Cheap
gut,good
Gesicht,face
Gespräch,talk
gestern,yesterday
gesund,healthy
Gesundheit,health
Getränk,drink
Haar,hair
haben,to have
Hähnchen,chicken
Halle,hall
hallo,hello
herein,in / this way in
Hals,neck
Herd,stove / cooker
Herr,Sir
halten,to hold (sth.) / to stop
herstellen,to produce
Hamburger,hamburger
Haltestelle,stop
herunterladen,to download
Hand,hand
Handtuch,towel
herzlich,warmly
Handy,mobile
heute,today
hängen,to hang
hier,here
hart,hard
Hilfe,Help
hässlich,ugly
Hauptstadt,capital
Himmel,sky
Haus,house
hin,(to go) there
hinein,in / into
hinaus,out / afield
Haushalt,household
hinten,in the back
hinter,behind
Heft,notebook
Heimat,homeland
Hobby,hobby
hoch,high
Hochzeit,wedding
heiraten,to marry
hoffen,to hope
heiß,hot
heißen,to be called
hoffentlich,hopefully
holen,pick up
Heizung,heater
helfen,to help
Homepage,homepage
hören,to hear
hell,bright
Hose,trousers
Hemd,shirt
her kommen,to come here
heraus,out
Hotel,hotel
Hund,dog
Hunger,hunger
husten,to cough
Idee,idea
jung,young
immer,always
Junge,Boy
in,in
Information,information
sich über informieren,to inform oneself about (so./sth.) / to catch up on sth.
Kaffee,coffee
Kalender,calendar
kalt,cold
Insel,island
Instrument,instrument
