front,back
취직,"getting a job"
통장,"bankbook"
평일,"weekday"
포도,"grape"
품목,"item"
한식집,"Korean restaurant"
할인,"discount"
행사,"event"
휴일,"holiday"
희망,"hope"
권,"counter for books"
마리,"counter for animals"
인분,"portion"
장,"a counter for papers, sheets, shirts"
갈아타다,"to transfer (transportation)"
감기에 걸리다,"to catch a cold"
건너가다,"cross the road"
걸리다,"to take (time), to get caught"
경험하다,"experience"
고장이 나다,"to break, to malfunction, to go out of order"
구경하다,"to look around; to sightsee"
고르다,"to choose, select"
구하다,"to look for, to seek"
길이 막히다,"to be jammed, to be blocked (traffic)"
깎다,"to cut (hair)"
꺼내다,"to pull, to take out"
끄다,"to turn off; to switch off; to put out"
끊다,"to cut; to stop; to hang up"
끼다,"to wear (glasses, gloves, rings)"
내다,"to pay"
내리다,"to get off (a vehicle)"
넣다,"to put in"
농구하다,"to play basketball"
다녀오다,"to go and get back"
다니다,"to go to, attend"
닫다,"to close (a door/window)"
돈이들다,"to cost money"
돌아오다,"to come back"
드시다,"to eat (honorific)"
드리다,"to give (honorific)"
들다,"to carry, hold, lift, raise"
듣다,"to listen"
들어가다,"to enter"
떠나다,"to leave"
마치다,"to finish"
