von Anfang an,from the beginning,,,,,,,,,,
der Ort,"place, town, location",,,,,,,,,,
offen,open,,,,,,,,,,
im Moment,at the moment (im M~),,,,,,,,,,
dadurch,"through it, as a result",,,,,,,,,,
das Gesicht,face,,,,,,,,,,
irgendwie,somehow,,,,,,,,,,
erwarten,to expect,,,,,,,,,,
best,best,,,,,,,,,,
in dem Moment,at that moment,,,,,,,,,,
wohnen,to live (w~),,,,,,,,,,
jener,"that, those (j~)",,,,,,,,,,
international,international,,,,,,,,,,
"na ja, naja",oh well,,,,,,,,,,
rot,red,,,,,,,,,,
die Sprache,language,,,,,,,,,,
bilden,"to form, educate (b~)",,,,,,,,,,
anfangen,to begin (a~),,,,,,,,,,
bisher,"until now, up to now (not 'bislang')",,,,,,,,,,
sozial,social (s~),,,,,,,,,,
der Moment,moment (M~),,,,,,,,,,
wert,worth,,,,,,,,,,
die Rolle,"roll, role",,,,,,,,,,
ab,from (a~),,,,,,,,,,
besonder,special (b~),,,,,,,,,,
das Interesse,interest,,,,,,,,,,
die Bedeutung,"meaning, significance",,,,,,,,,,
nach dem Krieg,after the war,,,,,,,,,,
helfen,to help,,,,,,,,,,
der Text,text,,,,,,,,,,
jemand,someone,,,,,,,,,,
die Folge,"result, consequence (F~)",,,,,,,,,,
vergehen,to pass (about time),,,,,,,,,,
betreffen,"to affect, concern",,,,,,,,,,
die Tür,door,,,,,,,,,,
die Milliarde,billion,,,,,,,,,,
öffentlich,public,,,,,,,,,,
manchmal,sometimes,,,,,,,,,,
ach,oh,,,,,,,,,,
warten,to wait,,,,,,,,,,
der Krieg,war,,,,,,,,,,
ab und zu,every now and then (ab ~),,,,,,,,,,
gewiss,certain (g~),,,,,,,,,,
der Schüler,"pupil, student",,,,,,,,,,
keine Rolle spielen,to be irrelevant,,,,,,,,,,
das Ergebnis,result (E~),,,,,,,,,,
"meiste, die meisten",most,,,,,,,,,,
schließen,to close (s~),,,,,,,,,,
wahrscheinlich,probable (w~),,,,,,,,,,
in der Wohnung,in the apartment,,,,,,,,,,
her,"from sth, as far as...is concerned",,,,,,,,,,
das Gespräch,conversation,,,,,,,,,,
im Wesentlichen,essentialy (im ~),,,,,,,,,,
niemand,"no one, nobody",,,,,,,,,,
der Meter,meter,,,,,,,,,,
auf diese Weise,in this manner,,,,,,,,,,
wesentlich,"essential, fundamental",,,,,,,,,,
erinnern,to remind,,,,,,,,,,
für das Gespräch,for the discussion,,,,,,,,,,
die Wohnung,"apartment, flat",,,,,,,,,,
das Stück,piece,,,,,,,,,,
die Regierung,"rule, government",,,,,,,,,,
die Weise,"way, manner",,,,,,,,,,
gewinnen,"to win, gain",,,,,,,,,,
sechs,six,,,,,,,,,,
fühlen,to feel (f~),,,,,,,,,,
halb,half,,,,,,,,,,
sich erinnern,to remember,,,,,,,,,,
sich interessieren,to be interested,,,,,,,,,,
bieten,to offer (b~),,,,,,,,,,
europäisch,European,,,,,,,,,,
interessieren,to interest,,,,,,,,,,
die Situation,situation (S~),,,,,,,,,,
die Abbildung,illustration (A~),,,,,,,,,,
das Jahrhundert,century,,,,,,,,,,
dagegen,"against it, on the other hand",,,,,,,,,,
ziemlich,"quite, fairly",,,,,,,,,,
studieren,to study,,,,,,,,,,
ebenso...wie,as well as,,,,,,,,,,
"am Boden, auf dem Boden",on the floor,,,,,,,,,,
anbieten,to offer (a~),,,,,,,,,,
ergeben,to result in (er~),,,,,,,,,,
der Lehrer,teacher (male),,,,,,,,,,
ähnlich,similar,,,,,,,,,,
der Begriff,"concept, idea, term (B~)",,,,,,,,,,
der Punkt,"dot, point, period",,,,,,,,,,
die Funktion,function,,,,,,,,,,
der Boden,"ground, floor, bottom",,,,,,,,,,
verbinden,"to connect, link (ver~)",,,,,,,,,,
sich ergeben,"to yield, surrender",,,,,,,,,,
der Preis,"price, prize",,,,,,,,,,
der Sohn,son,,,,,,,,,,
danach,"after it, afterwards (d~)",,,,,,,,,,
fehlen,"to lack, be missing, be absent (f~)",,,,,,,,,,
ebenso,"just as, as much as, as well (e~)",,,,,,,,,,
ansehen,"to look at, watch (not 'anschauen' or 'angucken')",,,,,,,,,,
häufig,frequent (h~),,,,,,,,,,
bedeuten,to mean (b~),,,,,,,,,,
die Kunst,art,,,,,,,,,,
gering,"low, small",,,,,,,,,,
die Angst,"fear, anxiety (A~)",,,,,,,,,,
die Information,information (I~),,,,,,,,,,
nutzen,to use (n~),,,,,,,,,,
steigen,"to climb, increase (s~)",,,,,,,,,,
das Werk,work (W~),,,,,,,,,,
plötzlich,suddenly,,,,,,,,,,
schwierig,difficult (not 'schwer'),,,,,,,,,,
acht,eight,,,,,,,,,,
die Politik,politics,,,,,,,,,,
außerdem,"besides, in addition (a~)",,,,,,,,,,
die Richtung,direction,,,,,,,,,,
inzwischen,in the meantime (i~),,,,,,,,,,
im Rahmen,"within the context, within the framework",,,,,,,,,,
schauen,to look (s~),,,,,,,,,,
die Stimme,"voice, vote",,,,,,,,,,
die Musik,music,,,,,,,,,,
das Programm,programme,,,,,,,,,,
der Rahmen,"frame, framework",,,,,,,,,,
völlig,complete (vö~),,,,,,,,,,
schwarz,black,,,,,,,,,,
vergleichen,to compare,,,,,,,,,,
sofort,immediately (sof~),,,,,,,,,,
der Schritt,step,,,,,,,,,,
einsetzen,"to put in, insert (not 'einlegen')",,,,,,,,,,
der Gott,god,,,,,,,,,,
der Absatz,"paragraph, sales, heel",,,,,,,,,,
in der Regel,"normally, as a rule",,,,,,,,,,
bald,soon (b~),,,,,,,,,,
ausgehen,"to go out, assume",,,,,,,,,,
-jährig,years (old),,,,,,,,,,
wachsen,"to grow, wax",,,,,,,,,,
persönlich,personal,,,,,,,,,,
genug,enough,,,,,,,,,,
manch,"some, many a (m~)",,,,,,,,,,
ändern,to change (ä~),,,,,,,,,,
der Beruf,"occupation, job, profession",,,,,,,,,,
geschehen,"to happen, occur (g~)",,,,,,,,,,
mein Gott,my God,,,,,,,,,,
das Auto,"automobile, car",,,,,,,,,,
Gott sei Dank,Thank God,,,,,,,,,,
die Regel,rule,,,,,,,,,,
beschreiben,to describe (b~),,,,,,,,,,
die Beziehung,"relation, relationship",,,,,,,,,,
sich verlassen,"to depend, rely on (sich v~)",,,,,,,,,,
mit dem Auto,by car,,,,,,,,,,
verlassen,to leave (ver~),,,,,,,,,,
praktisch,practical,,,,,,,,,,
der Markt,market,,,,,,,,,,
das Gefühl,feeling,,,,,,,,,,
das Licht,light,,,,,,,,,,
auf den Tisch,(put) on the table,,,,,,,,,,
endlich,"finally, at last (e~)",,,,,,,,,,
der Tisch,table,,,,,,,,,,
innerhalb,within,,,,,,,,,,
auf dem Tisch,on the table,,,,,,,,,,
das Spiel,game (S~),,,,,,,,,,
bezeichnen,"to call, name (bez~)",,,,,,,,,,
der Präsident,president,,,,,,,,,,
modern,modern,,,,,,,,,,
sich befinden,"to be, be located (sich b~)",,,,,,,,,,
tief,deep,,,,,,,,,,
wirken,"to have an effect, work (w~)",,,,,,,,,,
annehmen,"to accept, assume (an~)",,,,,,,,,,
die Zukunft,future,,,,,,,,,,
die Erfahrung,experience (Erf~),,,,,,,,,,
planen,to plan (p~),,,,,,,,,,
die Partei,(political) party,,,,,,,,,,
insbesondere,"particularly, especially (i~)",,,,,,,,,,
tatsächlich,"real, actual (t~)",,,,,,,,,,
kriegen,"to get, receive (k~)",,,,,,,,,,
die Bank,1) bank; 2) bench,,,,,,,,,,
die Tochter,daughter,,,,,,,,,,
das Mädchen,girl,,,,,,,,,,
passieren,"to take place, happen (p~)",,,,,,,,,,
interessant,interesting,,,,,,,,,,
zusätzlich,additional (z~),,,,,,,,,,
rufen,to call (r~),,,,,,,,,,
öffnen,to open (ö~),,,,,,,,,,
die Kirche,church,,,,,,,,,,
amerikanisch,American,,,,,,,,,,
ebenfalls,likewise,,,,,,,,,,
hin,(to) there,,,,,,,,,,
das Verhältnis,relationship (V~),,,,,,,,,,
hin und wieder,every now and then (h~),,,,,,,,,,
zunehmen,to increase (zu~),,,,,,,,,,
der Doktor,doctor (D~),,,,,,,,,,
gestern,yesterday,,,,,,,,,,
der Gedanke,thought (G~),,,,,,,,,,
fordern,"to demand, claim (f~)",,,,,,,,,,
der Film,film,,,,,,,,,,
gefallen,to please (g~),,,,,,,,,,
nachdem,after (n~),,,,,,,,,,
hin und her,back and forth,,,,,,,,,,
bestimmen,"to decide, determine (be~)",,,,,,,,,,
aufnehmen,"to record, include (auf~)",,,,,,,,,,
wirtschaftlich,"economic, financial (w~)",,,,,,,,,,
aufgrund,"on the basis of, because of",,,,,,,,,,
im Zusammenhang mit,in connection with (im Z~),,,,,,,,,,
in diesem Zusammenhang,in this context,,,,,,,,,,
der Zusammenhang,"connection, context (Z~)",,,,,,,,,,
jedenfalls,in any case (j~),,,,,,,,,,
gleichzeitig,simultaneous,,,,,,,,,,
das Gesetz,law,,,,,,,,,,
die Firma,"firm, company",,,,,,,,,,
