front,back,frequency,
하지만,"but, though",251,
못하다,to be unable to do,252,
안,"inside, within;not;proposal",253,
토마토,tomato,254,
닫다,to close,255,
요즘,these days,256,
지하철,subway,257,
캐나다,Canada,259,
잔,"cup, glass",260,
점원,salesperson,261,
많다,"to be many, to be plenty",262,
주일,week,263,
마음,"mind, heart, nature",264,
월,month,265,
중요하다,to be important,266,
저쪽,"that side, over there",267,
고기,meat,268,
꽃,flower,269,
반갑다,"to be glad, happy, pleased",270,
그런데,"by the way, but then",271,
거리,"distance;street, road",272,
버리다,"to abandon, to throw away",273,
분,minute;person (hon.),274,
시장,market;mayor,275,
오월,May,276,
가깝다,to be close,277,
얼마나,how + adjective/adverb,278,
식당,"restaurant, cafeteria, diner",279,
호주,Australia,280,
덥다,to be hot (regarding the weather),281,
몇,how many,282,
취미,hobby,283,
옷장,"wardrobe, closet",284,
내리다,"to come down, put down;to get out of;to take off",285,
시계,"clock, watch",286,
보통,"usually, normally",287,
햄버거,hamburger,288,
열다,to open,289,
옆,"beside, next to",290,
의사,"doctor, physician;intention, idea",291,
말다,to not do,292,
다시,again,293,
신문,newspaper,294,
여동생,younger sister,295,
적다,"to write down, fill out;to be small in quantity",296,
열심히,"diligently, passionately",297,
손,hand,298,
가르치다,to teach,299,
유월,June,300,
아직,"yet, still",301,
이상하다,to be strange (unusual),302,
나중에,later,303,
등,etc (など),304,
회사원,company employee (in an office),305,
놓다,"to lay, put, place;to let go",306,
조금,a little,307,
음식,food,308,
운전하다,to drive,309,
곳,place,310,
남동생,younger brother,311,
짧다,to be short,312,
냉장고,refrigerator,313,
천천히,slowly,314,
태어나다,to be born,315,
한식,Korean-style food,316,
원,won (Korean currency);circle,317,
기쁘다,"to be glad, happy, pleased",318,
누나,older sister (of a male),319,
올해,this year,320,
결혼하다,to get married,321,
나이,age,322,
그림,picture,323,
남다,"to remain, to be left",324,
달걀,egg,325,
늦게,late,326,
괜찮다,to be okay,327,
침대,bed,328,
병,"bottle;sickness, disease",329,
팔다,to sell,330,
직업,"job, occupation",331,
여름,summer,332,
같다,"to be the same (as);to look like, seem like",333,
나,I (informal),334,
극장,movie theater;theater,335,
잡다,"to catch, grab, take",336,
엄마,mom,337,
나가다,to go out,338,
자전거,bicycle,339,
주문하다,to order (smth.),340,
고향,hometown,341,
어떤,"some, certain;what kind of",342,
춤추다,to dance,343,
때,time; when;occasion;dirt,344,
언니,older sister (of a female),345,
준비,"preparation, arrangement",346,
울다,to cry,347,
일월,January,348,
가수,singer,349,
그래도,"nevertheless, still, however",350,
찍다,to take a picture;to mark,351,
초콜릿,chocolate,352,
일찍,early (adv.),353,
잠,"sleep, nap",354,
힘들다,"to be difficult, tiring, painful",355,
아빠,dad,356,
김치,kimchi (traditional Korean dish made of seasoned vegetables and other ingredients),357,
작년,last year,358,
내다,to pay;to hand in;to produce,359,
영국,United Kingdom,360,
주말,weekend,361,
그렇지만,"but, however",362,
따뜻하다,"to be warm, kind",363,
이월,February,364,
핸드폰,cellphone,365,
씻다,to wash,366,
편지,"letter, note",367,
봄,spring,368,
슬프다,to be sad,369,
오전,before noon,370,
인터넷,internet,371,
맵다,"to be spicy, hot;to be intense",372,
백화점,department store,373,
명,counter for people,374,
검다,to be black,375,
얘기,"story;talk, conversation",376,
제일,the most,377,
빌리다,to borrow,378,
포도,grape,379,
삼월,March,380,
걷다,to walk,381,
공항,airport,382,
달,"month, moon",383,
농구,basketball,384,
세수하다,to wash one's face,385,
가끔,sometimes,386,
씨,"Mr., Ms.;seed, kernel",387,
보내다,to send;to pass (spend) time,388,
오후,after noon,389,
서점,bookstore,390,
배고프다,to be hungry,391,
무엇,"what, which, something (the unshortened form of 뭐)",392,
맛,taste,393,
비빔밥,boiled rice with assorted mixtures,394,
걸리다,"to take time;to be caught",395,
창문,window,396,
일본어,Japanese (language),397,
싫어하다,to dislike,398,
또,"in addition,",399,
기억,memory,400,
검은색,black,401,
치다,"to play a game;to hit, attack",402,
나무,tree; wood,403,
대답,answer,404,
설악산,Seoraksan (mountain),405,
깨끗하다,to be clean,406,
모두,"all together, everyone",407,
너,you (informal),408,
그래,"yes, okay",409,
수고하다,"to work hard, keep up the effort",410,
먼저,"first, ahead",411,
층,floor (count.),412,
사월,April,413,
조용하다,to be quiet,414,
사무실,office,415,
벌써,already,416,
들어가다,"to enter, go in",417,
잠시,for a while,418,
위,above;stomach,419,
한번,one time,420,
귀엽다,to be cute,421,
부엌,kitchen,422,
이런,such,423,
소개하다,"to introduce, recommend",424,
목,neck;throat,425,
여러,"many, several",426,
흰색,white,427,
가지다,to posess (have),428,
할머니,grandmother,429,
만약,if,430,
화,"anger;disaster, misfortune",431,
잘하다,"to do well, be skillful",432,
오이,cucumber,433,
처음,for the first time;the origin,434,
비슷하다,to be similar,435,
칠월,July,436,
길,"street, road",437,
어느,which,438,
축하하다,to congratulate,439,
택시,taxi,440,
마지막,"the last, final one",441,
한국말,Korean language,442,
서다,to stand;to stop,443,
속,inside,444,
빨간색,red,445,
빨래하다,to do laundry,449,
팔월,August,447,
수박,watermelon,448,
차갑다,to be cold (regarding objects),446,
대,counter for vehicles and other machinery,450,
종이,paper,451,
며칠,several days;day of the month,452,
걱정하다,to worry,453,
테이블,table,454,
오래,a long time,455,
배우,actor,456,
놀라다,"to be surprised, astonished, startled",457,
힘,"power, strength, force, capability",458,
잡지,"magazine, journal",459,
계시다,to exist (hon.),460,
남편,husband,461,
별로,not particularly,462,
파티,party (social gathering),463,
화나다,"to be angry, mad",464,
구월,September,465,
산,mountain,466,
빨갛다,to be red,467,
아래,under,468,
교실,classroom,469,
잘못하다,to make a mistake,470,
왼쪽,left side,471,
코트,coat,472,
따르다,to follow,473,
겨울,winter,474,
모자,"hat, cap;mother and son",475,
시월,October,476,
필요하다,to need,477,
키,height,478,
청바지,blue jeans,479,
고맙다,"to be thankful, grateful",480,
물건,"thing, object, article",481,
이렇게,"like this, in this way",482,
소금,salt,483,
끝내다,to finish (something),484,
수학,mathematics;study,485,
뒤,behind,486,
편의점,convenience store,487,
유명하다,to be famous,488,
우산,umbrella,489,
저희,"we, our",490,
들어오다,"to come in, enter",491,
아저씨,mister,492,
안경,"glasses, eyeglasses",493,
행복하다,to be happy,494,
값,"price, cost",495,
동안,"during, interval",496,
뜨겁다,to be hot (regarding objects),497,
식사,meal,498,
오른쪽,right side,499,
거실,living room,500,
설명하다,to explain,501,
불,fire;light,502,
그러니까,"therefore, consequently",503,
아줌마,middle aged woman,504,
아름답다,to be beautiful,505,
십일월,November,506,
외국,foreign country,507,
아내,wife,508,
나다,"to appear, come out;",509,
역,train station;part in a play,510,
도시,city,511,
드리다,"to give, offer (hon.)",512,
얼굴,face,513,
인사,greetings,514,
거짓말,lie,515,
무겁다,to be heavy,516,
모든,all; every,517,
공,ball,518,
날짜,date (in a calendar),519,
구경하다,"to go sightseeing, look around;to see, watch (a show, movie, play, sports game etc.)",520,
소리,"sound, noise",521,
앞으로,from now on,522,
들다,"to holdto pick up",523,
팔,arm,524,
십이월,December,525,
기숙사,dormitory,526,
어둡다,to be dark,635,
중국어,Chinese (language),528,
바로,right there;directly,529,
생선,fish (for eating),530,
연습하다,"to practice, train",531,
데,"spot, place",532,
하루,"(one) day, 24 hours",533,
외국어,foreign language,541,
빠르다,"to be quick, fast",535,
반지,ring,536,
쇼핑,shopping,537,
노랗다,to be yellow,538,
밖,the outside,539,
만화,comic book,540,
사실,"fact, truth",534,
출근하다,to go (get) to work,542,
언제나,always;usually,543,
건강,health,544,
높다,to be high;to be noble,545,
그냥,just;without any special reason,546,
지난주,last week,547,
컵,cup,548,
계속하다,to continue,549,
휴가,vacation (in general),550,
방금,a moment ago,551,
학년,school year,552,
벌다,"to earn (money)",553,
전,"before, prior to",554,
색깔,color,555,
신발,"shoes, footwear",556,
잊다,to forget,557,
설탕,sugar,558,
함께,"together, in company with",559,
글,"writing, a piece of writing, text",560,
사용하다,"to use, make use of",561,
데이트,"date, going out",562,
사고,accident;thinking,824,
그만하다,to stop (doing something),564,
라면,ramen,565,
서로,"each other, mutually",566,
생기다,"to occur, happen;to look;to form",567,
약,"drug, medicine;approximately",568,
아마,"probably, maybe",563,
미안하다,to be sorry (less formal),570,
과일,fruit,571,
항상,always,572,
싸우다,"to argue, fight",981,
지갑,wallet;purse,574,
가장,the most (more formal than&nbsp;제일),575,
이해하다,"to understand, grasp",576,
반,"half;group, class",577,
농담,joke,578,
아기,baby,579,
바꾸다,"to change, switch, alter",580,
가을,autumn,569,
쇠고기,beef (2),582,
낮다,to be low,601,
담배,cigarette,584,
방학,vacation (from school),585,
가져오다,to bring,586,
권,counter for books,587,
열쇠,key,588,
그리다,to draw a picture,589,
여자친구,girlfriend,590,
아주,very much,581,
양말,socks,592,
틀리다,to be wrong,593,
아니,"no, not",594,
주소,"address, residence",595,
벽,wall;characteristic,596,
퇴근하다,to go home from work,597,
자기,"self, oneself",598,
방법,"way, method",599,
감기,cold (the illness),591,
똑똑하다,"to be smart, bright, intelligent",583,
계속,continuously,602,
지도,"map, chart",603,
가볍다,to be light (as opposed to heavy),604,
마리,counter for animals,600,
문학,literature,606,
밝다,"to be bright, light;to be promising;to be sharp, keen",527,
강,river,608,
반말,plain speech,609,
외우다,to memorize,610,
할아버지,grandfather,611,
비밀,secret,612,
노란색,yellow,613,
즐겁다,to be fun (楽しい),607,
인기,popularity,615,
전혀,completely;(not) at all,616,
조심하다,"to be careful, watch out",617,
바다,"sea, ocean",605,
과학,science,619,
더럽다,to be dirty,662,
몸,"body, figure",639,
잠깐,for a little while,622,
강하다,"to be strong, powerful",623,
축구,football (soccer),624,
역사,history,637,
내,my (informal),626,
잘못되다,to go wrong,627,
다리,leg;bridge,628,
번호,number,636,
운동장,"field, (school) stadium;playground",630,
실례하다,to be excused,614,
콜라,coke,632,
사이,relationship;distance apart,618,
스포츠,sports,634,
부탁하다,"to request, ask a favor",631,
스페인,Spain,645,
기분,"mood, feeling",629,
갑자기,suddenly,625,
다치다,to get hurt,713,
궁금하다,"to be curious, to wonder",638,
자리,"room, space, place (for something);mat",633,
내년,next year,640,
파랗다,to be blue,641,
섬,island,807,
그렇게,"so, like that",642,
건강하다,to be healthy,647,
냄새,"smell, scent",643,
직장,"workplace, job",646,
지나다,"to pass, go by",650,
반바지,shorts,648,
소파,sofa,649,
독학,self-study,651,
연락하다,"to contact, keep in touch",620,
오랜만에,after a long time,652,
느낌,"feeling, sensation",661,
졸업하다,to graduate,656,
교수,"professor;teaching, instruction",660,
손님,guest;customer,655,
오르다,"to rise, go up",659,
입,mouth,667,
비행기,airplane,657,
닦다,to wipe;to polish,653,
위험,"danger, risk",1092,
유행,fashion,834,
믿다,"to believe, trust",665,
교과서,textbook,663,
꼭,"certainly, for sure",654,
날씬하다,"to be slim, slender",888,
대화,conversation,669,
날마다,every day,658,
시원하다,"to be cool, refreshing",668,
신경,nerves,838,
유학,studying abroad,690,
인도,India;sidewalk,670,
시끄럽다,to be noisy,671,
당근,carrot,676,
계획,"plan, project",672,
피우다,"to smoke;to bloom, blossom;to make a fire",674,
코,nose,621,
부산,Busan,666,
우체국,post office,673,
어리다,"to be young, little",680,
바람,"wind, breeze;wish, desire",664,
야구,baseball,678,
복잡하다,to be complicated,677,
목욕,bath,681,
때문에,because of,679,
꿈,dream (while sleeping),682,
넓다,"to be wide, spacious",683,
이제,now (after something),684,
경기,game (football etc.),688,
지키다,"to defend, protect",692,
사실은,in fact,712,
약국,pharmacy,685,
즐기다,to enjoy oneself,686,
초록색,green,691,
낮,daytime昼,694,
그때,"then, at that time",697,
안다,"to hug, hold",716,
아가씨,"miss, young lady",687,
불고기,marinated beef,699,
주무시다,to sleep (hon.),695,
해,year;sun;harm,705,
아무튼,anyway,709,
드라마,drama,700,
내려오다,"to come down, get off",701,
비누,soap,702,
근처,nearby,693,
낫다,"to be better;to get better, to heal",707,
가구,furniture;household,708,
닭,chicken,715,
변하다,to change,704,
세탁,washing,696,
젓가락,chopsticks,839,
친절하다,"to be kind, considerate",719,
계단,stairs,711,
글쎄,"well, let me see",714,
켜다,"to turn on, switch on",698,
어른,adult;one's senior,718,
기자,reporter,889,
그쪽,"that, that way;you",726,
달리다,to run,689,
재미있게,"interestingly, in a fun way",721,
못,nail;cannot,723,
하얗다,to be white,722,
주인,"owner, employer",724,
아무나,anybody,738,
기억나다,"to remember, recollect",710,
지난달,last month,730,
군데,"place, spot",2796,
사탕,candy,727,
어떻다,to be the manner in which something is done,728,
귀,ear,732,
이따가,a little later,735,
잃다,to lose (something),725,
교회,church,729,
그릇,"bowl, container",720,
펴다,to spread (広げる),731,
중에서,"among, between",733,
목소리,voice,742,
소식,news (from people you know),879,
밝히다,"to brighten (up), lighten;to clarify, disclose",734,
침실,bedroom,893,
북쪽,north,745,
구름,cloud,741,
벗다,to take off (clothes),743,
닭고기,chicken (meat),747,
밑,"the bottom, below",751,
만지다,to touch,746,
모레,the day after tomorrow,737,
시내,"the city, downtown",748,
달다,"to be sweet;to put up, attach",749,
거의,almost,750,
간호사,nurse,717,
불안하다,"to be anxious, uneasy",1022,
배달,delivery,931,
아무도,"no one, nobody",675,
곧,soon,760,
흐리다,to be cloudy,752,
장갑,glove,753,
말고,not ... but ...,754,
복습하다,to review,755,
새벽,dawn,768,
정도,"degree, extent",757,
숟가락,spoon,764,
출발하다,"to depart, leave",762,
달력,calendar,756,
회의,"meeting, conference",777,
끄다,"turn off",758,
훨씬,moreもっと,759,
부탁,request,766,
줄,"line, rope",845,
샤워하다,to take a shower,736,
그러나,"but, though, however",767,
접시,plate,780,
드시다,"to eat, drink (hon.)",765,
경제,economy,916,
개월,months (count.),763,
잘생기다,"to look good, be handsome",644,
문장,sentence,781,
가위,scissors,820,
초대하다,to invite,769,
점,"dot, point;viewpoint;fortune-telling",774,
호텔,hotel,761,
갈비,barbecued spare ribs,776,
알아보다,to find out,940,
허리,waist,783,
물론,of course,770,
편하다,"to be convenient, comfortable",775,
까만색,black,788,
자신,oneself;self-confidence,796,
헤어지다,"to break up, part, separate",785,
사거리,"intersection, crossroads",791,
국,soup,786,
가운데,center,773,
다녀오다,to go and get back,778,
학원,"educational institute, academy",787,
장소,"place, location",800,
착하다,to be nice (good-natured),782,
호수,lake;number (of a house or room),803,
보기,example,808,
야채,vegetable,794,
마르다,to be dry,772,
팥,red-beans,901,
신호,signal,844,
덮다,"to cover, shut, close",1562,
굉장히,"very, extremely, very much",804,
하늘,the sky,771,
돌아가다,to return,792,
아까,earlier,798,
기침,cough,806,
불다,to blow,813,
케이크,cake,818,
살,"years of age (count.);flesh, muscle",817,
짜다,salty,789,
카페,café,810,
욕실,bathroom,811,
이사하다,to move (to live elsewhere),802,
건물,building,814,
달러,dollar,815,
넣다,"to put in, insert",816,
종업원,"waiter, waitress",821,
가슴,chest,793,
장,counter for sheets (of paper or similar material);intestine,825,
짓다,to build,823,
그녀,she,790,
단어,"word, vocabulary",827,
남자친구,boyfriend,822,
고르다,"to choose, pick",809,
어린이,"young child, kid",801,
딸기,strawberry,828,
혹시,"by any chance; perhapsもしかしたら",992,
돌다,"to turn, rotate, revolve",833,
문화,culture,812,
참,"very, really",835,
무섭다,"to be scary, frightening, fearful;to be scared",795,
소풍,picnic,831,
이미,"already, yet;previously",829,
묻다,"to ask;to stick to, be stained;to bury",830,
이유,"reason, cause",856,
녹색,green,841,
오래간만,first time in a while,842,
떨어지다,"to fall, crash;to be short of, run out;to be worn out;",840,
예문,example sentence,848,
스파게티,spaghetti,846,
뚱뚱하다,to be fat,819,
발,foot,797,
아르바이트,part-time job,744,
이기다,to win,836,
기차,train,854,
어깨,shoulder,859,
따라하다,"to imitate, repeat (after)真似する",913,
직접,"directly, personally",832,
강아지,puppy,852,
끊다,"to cut off, break off",799,
냉면,cold noodles,857,
사장,president of a company,860,
각,"each, every;angle",1302,
맑다,"to be clear, clean",843,
제주도,Jeju Island,853,
경찰,"police, police officer",905,
전화기,telephone (set),3046,
신다,"to put on, wear (footwear)",805,
눈물,tear,904,
노력,effort,850,
어울리다,"to match, fit, suit well, look good;to associate (with), get along (with)",851,
뉴스,news,871,
갔다오다,to go and come back,861,
노래방,karaoke room,867,
간장,soy sauce,1397,
휴게실,"lounge, resting room",870,
건너다,to cross (over),875,
게임,game,864,
표,"ticket;table, diagram;mark, sign",740,
쓰레기,"garbage, trash",863,
해보다,to try; to experience,826,
손가락,finger,706,
남녀,men and women,968,
자르다,to cut,855,
옛날,"old times, the past",862,
설거지,dishwashing,874,
봉투,"envelope, bag&nbsp;",1020,
나타나다,to appear,882,
초등학교,elementary school,880,
복숭아,peach,897,
불편하다,"to be inconvenient, uncomfortable",858,
칼,knife;sword,884,
추석,Korean harvest festival,877,
내려가다,to go down,868,
부부,a married couple,891,
지하,"underground, basement",898,
걸다,to hang,885,
수영장,swimming pool,876,
반찬,side dish,886,
시장보다,to go grocery shopping,895,
공연,public performance,926,
최고,"the best, the highest, top",907,
팀,team,873,
돌아오다,"to come back帰ってくる",903,
곧장,"straight, directly",896,
자연,nature,929,
한글,Korean alphabet,881,
갖다,"to have, to hold",872,
공사,construction,1058,
모습,"figure, shape, features",1043,
깎다,"to peel, trim, cut;to discount (cut the price)",865,
특히,"especially, particularly",1045,
남쪽,south,912,
까맣다,to be black,910,
예,example;yes,911,
가전제품,electric home appliance,1773,
산책하다,to take a walk,899,
당신,you (formal),866,
조건,"condition, term",1013,
세상,"the world, society",902,
날다,to fly,917,
외국인,foreigner,915,
교통,traffic,919,
말씀하시다,"to speak, talk (hon.)",906,
실수,"mistake, error",928,
언어,language,934,
왕,king,1870,
올라가다,"to go up",920,
피부,skin,914,
발음,pronunciation,918,
참다,"to endure, bear",923,
한복,Korean dress (traditional),961,
인터뷰,interview,924,
첫째,"first, the foremost",925,
막히다,"to be blocked, be stopped",847,
소주,Korean hard liquor,921,
맞은편,opposite side,922,
시청,city hall;watching,936,
희다,"white,&nbsp;白い",937,
과자,"cookie, snack",908,
미터,meter,941,
휴지,"toilet paper, tissue;pause",932,
전하다,"to convey, tell, report伝える",947,
포도주,wine,938,
과,"department;lesson, chapter",935,
멋있다,"to be attractive, stylish, cool",930,
첫날,the first day,945,
에어컨,air conditioner,1065,
과거,the past,939,
꺼내다,"to pull, take out",1061,
후식,dessert,946,
서쪽,the west,948,
떠나다,"to leave, depart",739,
피아노,piano,949,
계절,season,952,
친하다,"to be close, friendly, intimate with",954,
규칙,"rule, regulation",1407,
요리사,"cook, chef",943,
당연하다,"of course当然である",957,
중학교,middle school (junior high),956,
생활,"life, living, livelihood",779,
성,family name;castle;gender,969,
외롭다,to be lonely,1375,
경찰서,police station,1014,
학기,semester,959,
얻다,"to get, to gain",944,
아파트,apartment,958,
소고기,beef,962,
편리하다,"to be convenient, handy",967,
잎,leaf,955,
최근,"lately, most recently",965,
시키다,"to order, force someone",933,
메시지,message,1117,
일부,"part, section, portion",1016,
박물관,museum,909,
느끼다,"to feel, experience",964,
정신,mental,993,
내용,"contents, substance",1084,
현재,the present (tense),982,
걸어가다,"to walk (somewhere)歩いて行く",960,
카드,card,975,
숨,"breath, breathing",985,
눕다,"to lie down",950,
분위기,"atmosphere, mood",1069,
고등학교,high school,703,
외식하다,to dine out,974,
배추,Chinese cabbage,971,
레슨,lesson,996,
중간,middle,1316,
메뉴,menu,983,
부분,"part, portion",1104,
별,star,978,
심심하다,to be bored,977,
정보,information,1006,
소설,novel,1077,
자장면,Chinese dish of noodles in black soybean paste,979,
다행이다,"to be lucky, fortunate",984,
의미,"meaning, sense",1134,
수건,towel,989,
고치다,"to fix, repair",1002,
거울,mirror,963,
사회,"society, community",997,
이용하다,"to use, take advantage of",987,
가지,"kind (of), sort (of);branch, twig;eggplant",883,
홍차,black tea,999,
관계,"relationship, connection",1073,
튼튼하다,"strong, solid,&nbsp;丈夫である",991,
휴일,public holiday,972,
적,"enemy, opponent, rival",1031,
되게,very,986,
밉다,hate,970,
동물,animal,980,
버섯,mushroom,1011,
복사하다,"to reproduce, copy",1936,
돼지,pig,1003,
가까이,"near (to), close;nearly",1028,
지우다,to erase,1019,
초,seconds,1017,
미래,future,1032,
사귀다,"to date, go out;to make friends with, keep company with",892,
퍼센트,percent,1008,
술집,"bar, pub",1004,
잃어버리다,"to lose something (completely)",995,
그저께,day before yesterday,1021,
문법,grammar,1001,
남기다,to leave behind,1009,
주차장,parking lot,973,
매우,"very, so, much",784,
급하다,"to be in a hurry, be urgent",1026,
매력,"charm, attractiveness",1018,
입술,lips,1161,
사라지다,to disappear,1457,
사업,"enterprise, business",1170,
아무데나,"any place, anywhere",1007,
새롭다,"to be new, fresh",1064,
편,side,1000,
넥타이,necktie,1076,
지나가다,"to go through, pass",1033,
벌레,"bug, insect",1027,
뉴욕,New York,1048,
졸리다,to feel sleepy,927,
장미,rose,1038,
태권도,Taekwondo,994,
잡수시다,to eat (hon.),1005,
슈퍼마켓,supermarket,1024,
계란,egg,1025,
대단하다,Awesomeすごい,1015,
약간,"a little, slightly",1067,
칠판,blackboard,1039,
결정하다,to decide,1044,
성함,name (hon.),1049,
운동화,sports shoes,1035,
부럽다,"to be jealous, envious",1050,
목걸이,necklace,1042,
언젠가,someday,953,
똑같다,to be exactly the same,1029,
연구,research,1110,
채소,vegetable,1041,
입원하다,to be hospitalized,1183,
가격,price,1053,
평소에,"usually, ordinarily",1072,
풀다,to solve; untie,1091,
동사,verb,1070,
성격,"character, personality",1030,
던지다,to throw投げる,1037,
조용히,"silently, quietly",1059,
대학,university,1010,
도망가다,"to run away, escape",1085,
목적,"purpose, aim, goal",1132,
한가지,one thing,1063,
유리,glass,1056,
부드럽다,"to be soft, smooth",1102,
더위,the heat,1062,
경우,"case, circumstances, scenario",1060,
애인,"lover, sweetheart",1075,
굽다,to bake,1081,
